sentence,evaluation_words,tonality,entity,entity_type
" Единственный гол в матче — на счету Жервиньо, отличившегося с передачи Дрогбы под занавес первого тайма", единственный гол в матч на счёт отличиться с передача дрогб под занавес первый тайм ,0,Жервиньо,PERSON
" Посольство Российской Федерации в Республике Конго сообщило, что на борту разбившегося самолёта не было граждан РоссииНа борту разбившегося в Конго ДРК самолета находились 29 пассажиров и экипаж",ившегося самол тот не быть гражданин россиина борт разбиться в конго самолёт находиться пассажир и экипаж ,0,ДРК,COUNTRY
 — Мы намерены и в будущем поощрять посещение израильтянами Новой Зеландии с помощью недавно подписанного нами договора о праве на работу в этой стране для израильских туристов», мы намерить и в будущее поощрять посещение израильтянин с помощь недавно подписать мы договор о право на работа в этот ,1,Новой Зеландии,COUNTRY
"

На вопрос о травме основного вратаря сборной Игоря Акинфеева, полученной им в матче российской премьер-лиги между «Спартаком» и ЦСКА, Адвокат ответил, что «футболисты приходят на пресс-конференцию, чтобы говорить о сборной России, а не о „Зените“, „Спартаке“ или ЦСКА»",цию чтобы говорить о сборная россия а не о зенит спартак или  ,0,ЦСКА,ORGANIZATION
"

Отец Владислава Суркова — Дудаев Андарбек Данильбекович (кличка Юрий), по некоторым данным, как и мать — Суркова Зоя Антоновна работал учителем в дуба-юртской школе",дарбек данильбекович кличка юрий по некоторый данные как и мать работать учитель в дуб юртский школа ,0,Суркова Зоя Антоновна,PERSON
"

«Согласно конституции, если инаугурация президента по какой-либо причине не может состояться перед Национальной Ассамблеей, он может сделать это перед Верховным судом; при этом не указано, как и когда, — сказал поддерживающий Чавеса законодатель Хосе Авила",вный суд при это не указать как и когда сказать поддерживать законодатель хосе авил ,1,Чавеса,PERSON
"

«''Совершенно ясно, что некоторые европейские чиновники активно участвовали в таких незаконных операциях ЦРУ''», — говорит Марти — «''Некоторые страны сознательно это игнорировали или не желали знать об этом''»",вропейский чиновник активно участвовать в такой незаконный операция говорить марти некоторый страна сознательно это игнорировать ,-1,ЦРУ,ORGANIZATION
" 25 Февраля 1986 года Маркос бежал в США, а Акино стала президентом", февраль год бежать в сша а акино стать президент ,-1,Маркос,PERSON
"
Генпрокуратора Украины считает, что организованные им акции протеста финансируются из России окружением экс-президента Виктора Януковича, в частности, Сергеем Курченко, и направлены на свержение государственной власти", генпрокуратор считать что организовать они акция протест финансироваться из россия ,0,Украины,COUNTRY
"Хакер взломал web-камеру королевы красоты
Кэссиди Вулф (Cassidy Wolf)
ФБР занято расследованием шантажа на сексуальной почве, которому подверглась Кессиди Вульф (Кэссиди Вулф; Cassidy Wolf), недавно завоевавшая титул «Miss Teen USA» (см",ием шантаж на сексуальный почва который подвергнуться кессидеть вульф cassidy wolf недавно завоевать титул miss teen usa смотреть ,0,Кэссиди Вулф,PERSON
" На пост министра внутренних дел в техническом кабинете Руснока готовят Мартина Пецина, исполнявшего уже эти обязанности в беспартийном правительстве Яна Фишера в 2009-2010 годах",товить мартин пецин исполнять уже этот обязанность в беспартийный ян фишер в год ,0,правительстве,ORGANIZATION
"FakTyrA анонсировал сингл «Психопат» и назначил премьеру клипа
Личность в маске: FakTyrA (2016 год)
3 декабря 2018 года рэпер FakTyrA выпустил сингл «Психопат»", клип личность в маска faktyra год декабрь год рэпер выпустить сингл психопат  ,0,FakTyrA,PERSON
"

Ранее на этой неделе Кроуфорду и Фейту были предъявлены обвинения в заговоре с целью поддержки терроризма", ранее на этот неделя и фейт быть предъявить обвинение в заговор с цель поддержка терро ,-1,Кроуфорду,PERSON
"
24 июня 2013 года миланский суд приговорил бывшего премьер-министра Италии Сильвио Берлускони к семи годам лишения свободы по делу несовершеннолетней танцовщицы Руби (Каримы эль-Маруг)",ня год миланский суд приговорить бывший премьер министр италия к семь год лишение свобода по дело несовершеннолетний танцовщица ру ,-1,Сильвио Берлускони,PERSON
" Цвангираи участвовал в президентских выборах 2008 года и одержал победу в первом туре, однако в результате компромиссного соглашения о разделе власти Мугабе остался президентом страны, а Цвангираи занял пост премьер-министра",ный соглашение о раздел власть мугабе остаться президент страна а занять пост премьер министр ,0,Цвангираи,PERSON
"

Напомним, что в 1987 году в ''«Фестивале самодеятельных рок групп „Подольск—87“»'' приняли участие следующие группы: 42 (Подольск), Цемент (Рига), Телевизор (Ленинград), Кроссворд (Ярославль), Портрет (Подольск), Хроноп (Горький), Алиби (Дубна), Облачный край (Архангельск), Наутилус Помпилиус (Свердловск), Настя (Свердловск), Бастион (Одесса), Зоопарк (Ленинград), Калинов мост (Новосибирск), Холи (Казань), Долина (Москва), J",орда ярославль портрет подольск хроноп горький алиби дубна архангельск наутилус помпилиус свердловск настя свердловск б ,0,Облачный край,ORGANIZATION
 Он реализовал пенальти на 52-й минуте и затем показал руками номер Брайанта — 24, он реализовать пенальти на й минута и затем показать рука номер  ,1,Брайанта,PERSON
"

На торжественном заседании Государственного Совета приняли участие Президент Татарстана Рустам Минниханов, Государственный Советник РТ Минтимер Шаймиев, Председатель Государственного Совета РТ Фарид Мухаметшин, первый заместитель Председателя Государственной Думы РФ Олег Морозов, мэр Казани Ильсур Метшин, члены Совета Федерации и Госдумы РФ, депутаты Госсовета РТ, члены Правительства РТ, главы муниципальных районов РТ, ветераны Великой Отечественной войны, представители общественных организаций",аседаний государственный совет принять участие президент татарстан государственный советник рт минтимер шаймиев председатель государст ,0,Рустам Минниханов,PERSON
"

Мечеть в Синьцзяне, 2006 год

Ранее послы 22 стран, в основном западных, обратились в Совет по правам человека ООН, призвав Китай прекратить массовые репрессии в отношении этнических уйгуров и других мусульман",основное западный обратиться в совет по право человек оон призвать прекратить массовый репрессия в отношение этнический уйгур и другой ,0,Китай,COUNTRY
"Вашингтон предлагал Англии провести военную акцию в Иране
                                                     
Когда британские моряки находились в иранском плену, Вашингтон предлагал провести рискованную военную акцию по их освобождению",вашингтон предлагать провести военный акция в иран  ,1,Англии,COUNTRY
" В пресс-службе бюро расследований говорят, что расследование длится уже несколько месяцев, однако ранее оно держалось в тайне", в пресс служба говорить что расследование длиться уже несколько месяц однако ранее ,0,бюро расследований,ORGANIZATION
" Я хочу понять, смогу ли я превратить экстраординарный роман Михаила Булгакова „Мастер и Маргарита“ в мюзикл или, более вероятно, в оперу", я хотеть понять смочь ли я превратить экстраординарный роман мастер и маргарита в мюзикл или более вероятно в опера ,0,Михаила Булгакова,PERSON
" Слева здание, в котором сейчас расположена пиццерия Zizzi

В пиццерии Zizzi в британском Солсбери, где обедали 4 марта 2018 года отравленный экс-сотрудник ГРУ Сергей Скрипаль и его дочь Юлия, обнаружены следы нервно-паралитического отравляющего вещества", слева здание в который сейчас расположить пиццерия в пиццерия zizzi в британский солсбери где обедать март год ,0,Zizzi,ORGANIZATION
"

В качестве условия для освобождения гражданина США боевики выдвинули ряд требований, среди которых освобождение всех заключенных в Гуантанамо и других секретных американских тюрьмах, освобождение родственников Усамы бин Ладена, а также освобождение тех, кто был арестован по подозрению к принадлежности к движениям «Аль-Кайда» и Талибан", в качество условие для освобождение гражданин боевик выдвинуть ряд требование среди который освобождение весь зак ,0,США,COUNTRY
"

Элис Уолтон (Alice Walton)
Пока самой богатой женщиной в мире признана дочь основателя Walmart 67-летняя Элис Уолтон (Alice Walton)", alice walton пока сам богатый женщина в мир признать дочь основа ,0,Элис Уолтон,PERSON
"США ввели санкции против Кубы за поддержку Мадуро
Нефтеперерабатывающий завод на Кубе
Министерство финансов США ввело санкции против кубинской нефтяной компании Cubametales за поддержку венесуэльского режима Николаса Мадуро",и против куба за поддержка мадурый нефтеперерабатывающий завод на куба сша ввести санкция против кубинский нефтяной компания cubametales за п ,0,Министерство финансов,ORGANIZATION
" Это связано с публикацией скандальной подборам электронных писем Национального комитета Демократической партии, после которой его председатель Дебби Вассерман-Шульц была вынуждена уйти в отставку",икация скандальный подбор электронный письмо национальный комитет после который он председатель дебби вассерман шульц быть вынудить  ,0,Демократической партии,ORGANIZATION
"Против Надежды Савченко возбуждено новое уголовное дело
Здание ФСБ России ночью
Украинская лётчица Надежда Савченко, которая находится под арестом в Москве, в пятницу, 30 января 2015 года, передала через своих адвокатов, что российские власти возбудили против нее новое дело по обвинению в незаконном пересечении границы",против возбудить новый уголовный дело здание фсб россия ночью украинский л  ,0,Надежды Савченко,PERSON
"
24 июня 2013 года миланский суд приговорил бывшего премьер-министра Италии Сильвио Берлускони к семи годам лишения свободы по делу несовершеннолетней танцовщицы Руби (Каримы эль-Маруг)",еми год лишение свобода по дело несовершеннолетний танцовщица руби  ,0,Каримы эль-Маруг,PERSON
"

Лидер московского отделения Федерации автовладельцев России (ФАР) Сергей Канаев думает, что при том количестве мандатов, которыми обладает «ЕР», в нынешней Думе мало что изменится", лидер московский отделение федерация автовладелец россия сергей канаев думать что при тот количество мандат который обла ,0,ФАР,ORGANIZATION
"

В 2019 году Google была введена премия за выявление уязвимостей в популярных Android-приложениях, а стоимость информации об удалённо эксплуатируемой уязвимости в Android-приложениях Google увеличена с 5 до 20 тысяч долларов, утечке данных и доступе к защищённым компонентам с 1000 до 3000 долларов", в год быть ввести премия за выявление уязвимость в популярный android при ,0,Google,ORGANIZATION
" В прошлом году Мадуро переизбрали президентом, однако позднее поддерживаемый США лидер оппозиции Хуан Гуайдо провозгласил себя временным президентом", в прошлый год переизбрать президент однако поздний поддерживать сша лидер оппо ,0,Мадуро,PERSON
" Политик призвал греческое правительство не вмешиваться в конфликт, закрыть иностранные базы и выйти из НАТО", политик призвать не вмешиваться в конфликт закрыть иностранный база и выйти из нато ,1,греческое правительство,ORGANIZATION
 Они были признаны виновными по статьям №213 и №115 УК РФ (хулиганство и умышленное причинение лёгкого вреда здоровью), они быть признать виновный по статья и ук хулиганство и умышленный причинение л гкий вред здоровье  ,0,РФ,COUNTRY
"

Глава контртеррористического подразделения Скотланд-Ярда Нил Басу прокомментировал находку:
Это, безусловно, важный и позитивный сдвиг", глава нил бас прокомментировать находка это безусловно важный и позитивна ,0,контртеррористического подразделения Скотланд-Ярда,ORGANIZATION
" После неудачи движения Ли бежал в США, где также поступил в Колумбийскую бизнес-школу", после неудача движение бежать в сша где также поступить в колумбийский бизнес школа ,0,Ли,PERSON
" В числе тех, кто помогал президенту Путину стабилизировать политическую систему»", в число тот кто помогать президент стабилизировать политический система  ,1,Путину,PERSON
"
Кроме спортивной карьеры Армстронг вёл обширную благотворительную деятельность", кроме спортивный карьера в л обширный благотворительный деятельность ,0,Армстронг,PERSON
"

Власти Северной Кореи осудили главу МИД Японии Фумио Кисиду за его высказывания о наращивании давления на Пхеньян", власть осудить глава мид япония фумио кисида за он высказывание о наращиван ,0,Северной Кореи,COUNTRY
"

Выдвижения кандидатуры Керри, представляющего в Сенате штата Массачусетс и номинировавшегося на пост президента в 2004 году, ожидалось еще с прошлой недели, когда представитель США в ООН Сьюзан Райс попросила президента Обаму снять ее кандидатуру",ента в год ожидаться ещё с прошлый неделя когда представитель в оон сьюзан райса попросить президент обама снять она кандидатура ,0,США,COUNTRY
"

Письмо, написанное Фридрихом Трумпом в 1905 году и впервые опубликованное на этой неделе немецким журналом ''Bild'', адресовано принцу-регенту Баварскому Луитпольду с просьбой позволить Трампу остаться в Германии", год и впервые опубликовать на этот неделя немецкий журнал адресовать принц регент баварский луитпольд с просьба позволя ,0,Bild,ORGANIZATION
 Ранее США ввели санкции в отношении президента Венесуэлы Николаса Мадуро за нарушения прав человека, ранее ввести санкция в отношение президент венесуэла николас мадурый за нары ,-1,США,COUNTRY
"
На момент смерти 54-летняя журналистка расследовала коррупцию в России и нарушения прав человека в Чечне, где ранее федеральное правительство подавило попытки сепаратистов создать исламистское государство",цию в россия и нарушение право человек в чечня где ранее федеральный подавить попытка сепаратист создать исламистский государство ,0,правительство,ORGANIZATION
" На сегодняшний день, в своей категории, они являются наиболее сильными футболистами, что нельзя было не заметить на финальном чемпионате года в категории Disabled Doubles, прошедшем в Реабилитационном Центре ""Преодоление"" 12 ноября 2011 года",а финальный чемпионат год в категория disabled doubles прошедшее в ноябрь год ,0,"Реабилитационном Центре ""Преодоление",ORGANIZATION
" Протестующие утверждают, что представляют 99 процентов населения США, имея в виду, что они не относятся к 1 проценту самых богатых американцев", протестовать утверждать что представлять процент население иметь в вид что они не относиться к процент самый богатый америка ,0,США,COUNTRY
"В Афганистане убит американский военный
Американские военные в Афганистане, 2014 год
Военнослужащий США умер в Афганистане в результате полученных ранений во время операции в провинции Логар",й военный американский военный в афганистан год военнослужащий умереть в афганистан в результат получить ранение в время операция  ,0,США,COUNTRY
 После землетрясения израильская делегация во главе со спикером Кнессета Реувеном Ривлиным посетила место трагедии — город Крайстчерч, после землетрясение в глава с спикер кнессет реувен ривлин посетить место трагед ,0,израильская делегация,ORGANIZATION
" Церемония транслировалась в эфире телеканала «Россия 24», ведущими были Александр Плющев и Тина Канделаки", церемония транслироваться в эфир телеканал ведущий быть александр плющев и тина канделаки ,0,Россия 24,ORGANIZATION
" Замбии, однако, удалось в полуфинале обыграть крепкую сборную Ганы, и она, безусловно, представляла определённую опасность", замбия однако удаться в полуфинал обыграть крепкий сборная и она безусловно представлять определ нный опасность ,0,Ганы,COUNTRY
"Президенту Бразилии Дилме Руссефф грозит импичмент
Дилма Руссефф и Патриарх Кирилл 16 февраля 2016 года
Президент Бразилии Дилма Руссефф борется свою должность, в то время как Палата депутатов Национального конгресса в воскресенье, 17 апреля 2016 года, будет решать вопрос об её импичменте",ента бразилия дилма руссефф грозить импичмент дилма руссефф и патриарх февраль год президент бразилия дилма руссефф бороться свой до ,0,Кирилл,PERSON
"

По словам Шевченко, в 2017 году Махаури — «лицо, достаточно известное в криминальных кругах, которое имело устойчивые связи с разного рода чеченскими кругами», был задержан за незаконное хранение оружия", по слово в год махаури лицо достаточно известный в криминальный кру ,0,Шевченко,PERSON
" В этой ситуации руководство Первого канала поддерживает решение компаний-производителей об отстранении Ильи Бера и Александра Друзя от дальнейшего участия в программах «Кто хочет стать миллионером?» и «Что? Где? Когда?»

Пресс-служба телекомпании «Красный Квадрат», производителя «Кто хочет стать миллионером?», цитирует гендиректора Илью Кривицкого:
Сложившаяся ситуация подвела вещателя, программу, всех, кто на ней работает, и наших ни в чем не повинных зрителей, которые смотрели тот выпуск «Миллионера»", производитель кто хотеть стать миллионер цитировать гендиректор сложиться ситуация подвести вещатель программа весь кто на она р ,0,Илью Кривицкого,PERSON
"

Внучка Ван Цзюня, Клэр Ван, училась в Швейцарии, в соцсетях хвасталась роскошными вещами, писала, что уважает своего прадеда-генерала", внучка клэр ван учиться в швейцария в соцсеть хвастаться роскошный вещий ,0,Ван Цзюня,PERSON
"

Белый дом пояснил, что цель его действий – восстановление демократии в Венесуэле", пояснить что цель он действие восстановление демократия в венесуэла ,0,Белый дом,ORGANIZATION
"

В пресс-релизе правительство Великобритании заявило: «Посоветовавшись с британскими поставщиками указанных лекарств и иными заинтересованными сторонами, Правительство с удовлетворением обнаружило, что планируемый запрет не скажется на законной торговле указанными веществами для применения их в медицинских целях»",пресс релиз правительство великобритания заявить посоветоваться с поставщик указанный лекарство и иной заинтересованный сторона  ,0,британскими,COUNTRY
"Журнал Rolling Stone под огнём критики за фото Царнаева
Журнал Rolling Stone с фотографией Джохара Царнаева на обложке еще не появился в продаже, но уже навлек на себя жёсткую критику",журнал под огн м критика за фото царнаева журнал rolling stone с фотография ,0,Rolling Stone,ORGANIZATION
"Трамп и Путин сделали совместное заявление к 75-летию встречи на Эльбе

Президент США Дональд Трамп и президент России Владимир Путин сделали совместное заявление к 75-летию исторической встречи американских и советских войск в конце Второй мировой войны на реке Эльба в Германии, ознаменовавшей поражение нацистского режима", и путин сделать совместный заявление к летие встреча на эльба пра ,0,Трамп,PERSON
"

Письмо кроме России и Саудовской Аравии подписали Оман, Кувейт, Катар, Объединённые Арабские Эмираты, Бахрейн, Сирия, Пакистан, Северная Корея, Венесуэла, Куба, Беларусь, Мьянма, Филиппины и множество африканских государств", письмо кроме россия и подписать оман кувейт катар объединый нный арабский эмират бахрейн ,1,Саудовской Аравии,COUNTRY
"

В комментариях, опубликованных на сайте Министерства иностранных дел Китая, сообщается, что член Госсовета КНР Ян Цзечи призвал все стороны конфликта проявить выдержку и отметил, что кризис необходимо разрешить политическими и дипломатическими средствами",ных на сайт министерство иностранный дело китай сообщаться что член ян цзетать призвать всё сторона конфликт проявить выдержка и отметить ч ,0,Госсовета КНР,ORGANIZATION
"Украинец Александр Усик стал абсолютным чемпионом мира
Александр Усик
В субботу, 21 июля 2018 года, на арене СК «Олимпийский» в Москве украинец Александр Усик победил уроженца Северной Осетии россиянина Мурата Гассиева в финале Всемирной боксерской суперсерии (WBSS), став абсолютным чемпионом мира в первом тяжёлом весе, обладателем кубка Мохаммеда Али, поясов чемпиона мира по версиям WBA super, WBC, IBF, WBO, а также титула журнала The Ring", кубок мохаммед али пояс чемпион мир по версия wba super wbc wbo а также титул журнал the ring ,0,IBF,ORGANIZATION
" После того как люди передавали мошенникам личную информацию, сообщники преступников в Белоруссии получали эти данные и вносили изменения в налоговые декларации потерпевших, указывая в них завышенные суммы, которые федеральное казначейство должно было вернуть налогоплательщикам",овыя декларация потерпевший указывать в они завысить сумма который должный быть вернуть налогоплательщик ,0,федеральное казначейство,ORGANIZATION
"

Сообщается о ещё трёх пострадавших, среди них раввин синагоги Исорел Голстайн и девочка 8 лет", сообщаться о ещ тр х пострадать среди они раввин синагога и девочка год ,0,Исорел Голстайн,PERSON
"

Директор Института сейсмологии, профессор Токийского университета Наоси Хирата говорит, что до настоящего времени власти исходили из оценки, что вероятность землетрясения в Токио магнитудой 7,0 и выше в ближайшие 30 лет составляет 70 процентов", директор профессор токийский университет наося хират говорить что до насто ,0,Института сейсмологии,ORGANIZATION
"

Позднее в разной степени к бойкоту присоединились, по различным, зачастую противоречивым данным, Йемен, Ливия, Мальдивы, Маврикий, Мавритания и Союз Коморских Островов", присоединиться по различный зачастую противоречивый данные йемен мальдивы маврикий мавритания и союз коморский остров ,0,Ливия,COUNTRY
"

«Голос Америки»: 75 лет в эфире

Директор «Голоса Америки» Аманда Беннетт отмечает:
Прошло 75 лет с тех пор, как мы начали распространять объективную информацию по всему миру", год в эфир директор голос америка аманда беннетт отмечать  ,0,Голос Америки,ORGANIZATION
"Концерт Rolling Stones в Гаване собрал 500 тысяч зрителей
The Rolling Stones
25 марта 2016 года концерт группы ''The Rolling Stones'' в Гавене собрал до 500 тысяч зрителей и стал самым массовым зрелищем на Кубе со времён революции, произошедшей там в 1959 году",гавена собрать до тысяча зритель и стать самый массовый зрелище на с врать н революция произойти там в год ,0,Кубе,COUNTRY
"

Напомним, план «Барбаросса» был одобрен правительством Турции после резкого ухудшения отношений с Израилем, поводом к которому стала публикация доклада ООН о событиях мая 2010 года",быть одобрить правительство турция после резкий ухудшение отношение с повод к который стать публикация доклад оон о событие май  ,-1,Израилем,COUNTRY
"В апреле вышел сборник стихов для дошкольников «Наши дни»

В апреле 2014 года вышла книга Юлии Сырых ''«Наши дни",ик стих для дошкольник наш день в апрель год выйти книга наш день ,0,Юлии Сырых,PERSON
"

Весной 2000 года Рено санкционировала вооруженный захват пятилетнего мальчика Элиана, что возмутило американцев кубинского происхождения из её родного города", год рено санкционировать вооружённый захват пятилетний мальчик что возмутить американец кубинский происхождение из быть родный гора ,0,Элиана,PERSON
" Приняв эту резолюцию, законодатели Массачусетса поддержали всеобщие ценности прав и свобод человека», — заявил в связи с принятием резолюции постоянный представитель НКР в США Роберт Аветисян", заявить в связь с принятие резолюция постоянный представитель нкр в роберт аветисян ,0,США,COUNTRY
"Власти Нигера отозвали посла из Катара
Дипломатические представительства Нигера
Страны, в той или иной мере, участвующие в катарском дипломатическом кризисе
Власти Нигера приняли решение об отзыве своего посла из Катара в знак солидарности с арабскими странами, которые разорвали дипломатические отношения с эмиратом",власть нигер отозвать посол из дипломатический представительство нигер страна в тот или иной мера  ,0,Катара,COUNTRY
"

В сообщении центробанка Швейцарии говорится:
Минимальный курс евро к франку был введен в период исключительной переоценки швейцарского франка и очень высокого уровня неопределенности на финансовых рынках", в сообщение швейцария говориться минимальный курс евро к франк быть ввести в пери ,0,центробанка,ORGANIZATION
"У Хиллари Клинтон диагностировали пневмонию
Хиллари Клинтон
Кандидат в президенты США от Демократической партии 68-летняя Хиллари Клинтон отменила предвыборное турне по Калифорнии и Неваде, которое должно было начаться в понедельник, 12 сентября 2016 года, после того, как врачи объявили о том, что диагностировали у Хиллари пневмонию",у хиллари клинтон диагностировать пневмония кандидат в президент сша от демократический партия летний хиллари ,0,Хиллари Клинтон,PERSON
"

45-летний Чарли Роули и его 44-летняя партнёрша Дон Стерджесс были отправлены «Новичком» 30 июня", летний чарли роуля и он летний партн рша быть отправить новичок июнь ,0,Дон Стерджесс,PERSON
"Участница Pussy Riot Мария Алёхина начала голодовку
Мария Алёхина
22 мая 2013 года Мария Алёхина начала голодовку в знак протеста против отказа суда в её личном присутствии на слушании по ходатайству об условно-досрочном освобождении",участница pussy riot мария ала хина начало голодовка май год мария ала хина начало голодовка в знак протест протить ,0,Мария Алёхина,PERSON
"

К концу войны «Голос Америки» вещал на 40 языках, а программы состояли из музыки, новостей и аналитических комментариев", к конец война голос вещать на язык а программа состоять из музыка новость и аналя ,0,Америки,COUNTRY
"

Госсекретарь США Майк Помпео заявил, что Главное разведывательное управление Генштаба вооружённых сил России совершило масштабную кибератаку на Грузию, в результате которой напрямую пострадало население страны",ие генштаб вооруж нный сила россия совершить масштабный кибератака на в результат который напрямую пострадать население страна ,-1,Грузию,COUNTRY
" Политик призвал греческое правительство не вмешиваться в конфликт, закрыть иностранные базы и выйти из НАТО", политик призвать греческий не вмешиваться в конфликт закрыть иностранный база и выйти из нато ,0,правительство,ORGANIZATION
